Cim,Szerzo,Megjegyzes
Szokás és erkölcs,Zsigmond Gyözo,Hálószoba/ 3-as szekrény/ 2-es polc/41-ik könyv
Fehér Könyv (az 1944-. Oszi magyarellenes atrocitásokról),Gál Mária,Hálószoba/ 3-as szekrény/ 2-es polc/42-ik könyv
Magyar polgárosodás,Gero András,Hálószoba/ 3-as szekrény/ 2-es polc/43-ik könyv
Erdélyi református kalendárium,Névtelen,Hálószoba/ 3-as szekrény/ 2-es polc/44-ik könyv
Erdélyi elmebaj,Oltyán László,Hálószoba/ 3-as szekrény/ 2-es polc/45-ik könyv
A pécsi Magyar-Román Baráti Társaság évkönyve,Névtelen,Hálószoba/ 3-as szekrény/ 2-es polc/46-ik könyv
Kiberiáda,Stanislaw Lem,Hálószoba/ 3-as szekrény/ 2-es polc/47-ik könyv
Sánta pegazus,Zágoni Attila,Hálószoba/ 3-as szekrény/ 2-es polc/48-ik könyv
"""Emberek, akik találkoztak a medvével""",Tóth Árpád,Hálószoba/ 3-as szekrény/ 2-es polc/49-ik könyv
Erdély,Kós Károly,Hálószoba/ 3-as szekrény/ 2-es polc/5-ik könyv
Vedlések,Simona Poepescu,Hálószoba/ 3-as szekrény/ 2-es polc/50-ik könyv
Erdélyi Dekameron 1996 (kortárs romániai magyar írók),Névtelen,Hálószoba/ 3-as szekrény/ 2-es polc/51-ik könyv
A kommandói iparvasút története,Névtelen,Hálószoba/ 3-as szekrény/ 2-es polc/52-ik könyv
Kalotaszeg,Kós Károly,Hálószoba/ 3-as szekrény/ 2-es polc/6-ik könyv
Kutyakomédia,Kemény János,Hálószoba/ 3-as szekrény/ 2-es polc/7-ik könyv
Új élet kapujában,Karácsony Beno,Hálószoba/ 3-as szekrény/ 2-es polc/8-ik könyv
Mire a fák megnonek,Wass Albert,Hálószoba/ 3-as szekrény/ 2-es polc/9-ik könyv
Az én népem,Nyíro József,Hálószoba/ 3-as szekrény/ 3-es polc/ elso könyv
Összes versei,Mécs László,Hálószoba/ 3-as szekrény/ 3-as polc/ elso könyv
Összes versei,Mócs László,Hálószoba/ 3-as szekrény/ 3-es polc/ 10-dik könyv
Hosszú mezsgye,Bányai László,Hálószoba/ 3-as szekrény/ 3-as polc/ 10-ik könyv
A magyar forradalom politikai története 1847-1849,Irányi Dániel,Hálószoba/ 3-as szekrény/ 3-as polc/ 11 és 12-ik könyv
Az ember szexuális életmüködései,Szabó István,Hálószoba/ 3-as szekrény/ 3-as polc/ 13-ik könyv
Arkangyalok bukása,Szemlér Ferenc,Hálószoba/ 3-as szekrény/ 3-as polc/ 14-ik könyv
Esély 3,Domokos Géza,Hálószoba/ 3-as szekrény/ 3-as polc/ 15-ik könyv
"""Vissza a forrásokhoz, nemzedékvallató""",Balázs Imre József,Hálószoba/ 3-as szekrény/ 3-as polc/ 16-ik könyv
Névsorolvasás,Névtelen,Hálószoba/ 3-as szekrény/ 3-as polc/ 17-ik könyv
Igazolások a mennybemenetelhez,Nikolits Árpád,Hálószoba/ 3-as szekrény/ 3-as polc/ 18-ik könyv
Az ismert katona,Tar Károly,Hálószoba/ 3-as szekrény/ 3-as polc/ 19-ik könyv
Jézus-faragó ember,Nyíro József,Hálószoba/ 3-as szekrény/ 3-es polc/ 2-dik könyv
Kossuth Lajos iratai,Névtelen,Hálószoba/ 3-as szekrény/ 3-as polc/ 2-ik könyv
"""Otthonom Szatmár megye 3, a régi Szatmárnémeti""",Névtelen,Hálószoba/ 3-as szekrény/ 3-as polc/ 20-ik könyv
Sepsiszentgyörgy képes története,Névtelen,Hálószoba/ 3-as szekrény/ 3-es polc/ 21-dik könyv
Kévekötok,Gyero Dávid,Hálószoba/ 3-as szekrény/ 3-as polc/ 21-ik könyv
Felhojáték a franekkerben,Szász János,Hálószoba/ 3-as szekrény/ 3-as polc/ 22-ik könyv
Illuziók lázadása,Semlyén István,Hálószoba/ 3-as szekrény/ 3-as polc/ 23-ik könyv
"""Elindultam hosszú útra, népballadák""",Kibédi Majlát Józsefné Ötvös Sára,Hálószoba/ 3-as szekrény/ 3-as polc/ 24-ik könyv
Struktúrák és közösségek,Pászka Imre,Hálószoba/ 3-as szekrény/ 3-as polc/ 25-ik könyv
A filozófiai gondolkodás fejlodése,Nyíri Tamás,Hálószoba/ 3-as szekrény/ 3-as polc/ 26-ik könyv
"""Nyár, köd alatt""",Czego Zoltán,Hálószoba/ 3-as szekrény/ 3-as polc/ 27-ik könyv
Az erdélyi magyar gazdasági gondolkodás múltjából,Névtelen,Hálószoba/ 3-as szekrény/ 3-as polc/ 28-31-ik könyv
Mádéfalvi veszedelem,Nyíro József,Hálószoba/ 3-as szekrény/ 3-es polc/ 3-dik könyv
Jézus Krisztus,Didon,Hálószoba/ 3-as szekrény/ 3-as polc/ 3-ik könyv
A koszívu ember fiai,Jókai Mór,Hálószoba/ 3-as szekrény/ 1-es polc/3-ik könyv
Recondiderarea pie?elor din Europa Centrala ?i de Est,Birtalan Ákos,Hálószoba/ 3-as szekrény/ 3-as polc/ 32-34-ik könyv
Criza de sistem a economiei de comanda ?ietapa sa exploziva,Constantin Ionete,Hálószoba/ 3-as szekrény/ 3-as polc/ 35-ik könyv
Panteon (A székely nemzeti múzeum képtárának alapkiállítása),Névtelen,Hálószoba/ 3-as szekrény/ 3-as polc/ 36-ik könyv
Magyar jövonk,Birtalan Ákos,Hálószoba/ 3-as szekrény/ 3-as polc/ 37-ik könyv
Válogatott muvei,Siklós István,Hálószoba/ 3-as szekrény/ 3-as polc/ 38-ik könyv
Naplótöredék (1835-1836),Bölöni Farkas Sándor,Hálószoba/ 3-as szekrény/ 3-as polc/ 39-ik könyv
Havasok könyve,Nyíro József,Hálószoba/ 3-as szekrény/ 3-es polc/ 4-dik könyv
Székelyföld közgazdasági és közmívelodési állapota,Kozma Ferencz,Hálószoba/ 3-as szekrény/ 3-as polc/ 4-ik könyv
Zágoni Mikes Kelemen,Hopp Lajos,Hálószoba/ 3-as szekrény/ 3-as polc/ 40-ik könyv
Mária volt az élete,Sister Mary Pierre,Hálószoba/ 3-as szekrény/ 3-as polc/ 41-ik könyv
Éjfél a repülotéren,Márkus-Barbadossa János,Hálószoba/ 3-as szekrény/ 3-as polc/ 42-ik könyv
Buvos négyzetek,Berger György,Hálószoba/ 3-as szekrény/ 3-as polc/ 43-ik könyv
A közgazdasági gondolatok fejlodése,Phyllis Deane,Hálószoba/ 3-as szekrény/ 3-as polc/ 44-ik könyv
A játékember,Mátyás B. Ferenc,Hálószoba/ 3-as szekrény/ 3-as polc/ 45 és 46-ik könyv
Adela,Garabet Ibraileanu,Hálószoba/ 3-as szekrény/ 3-as polc/ 46-ik könyv
"""Álruhában, mai kalandok""",Cseke Gábor,Hálószoba/ 3-as szekrény/ 3-as polc/ 47-ik könyv
Rönkök között,Panigay Róbert,Hálószoba/ 3-as szekrény/ 3-as polc/ 48-ik könyv
A méltóság erosebb a halálnál,Josif Micu,Hálószoba/ 3-as szekrény/ 3-as polc/ 49-ik könyv
Halhatatlan élet,Nyíro József,Hálószoba/ 3-as szekrény/ 3-es polc/ 5-dik könyv
A nap árnyéka,Móricz Zsigmond,Hálószoba/ 3-as szekrény/ 3-as polc/ 5-ik könyv
Véráztatta napló,Oliver Lustig,Hálószoba/ 3-as szekrény/ 3-as polc/ 50-ik könyv
Tücsköknek szól,Kiss András,Hálószoba/ 3-as szekrény/ 3-as polc/ 51-ik könyv
Ami fontos,Szabó Péter,Hálószoba/ 3-as szekrény/ 3-as polc/ 52-ik könyv
A fehér kesztyu,Kocsis István,Hálószoba/ 3-as szekrény/ 3-as polc/ 53-ik könyv
Pléhmadár,Tar Károly,Hálószoba/ 3-as szekrény/ 3-as polc/ 54-ik könyv
Visszajátszás (publucisztikai írások),Majtényi Erik,Hálószoba/ 3-as szekrény/ 3-as polc/ 55-ik könyv
Május,Szász János,Hálószoba/ 3-as szekrény/ 3-as polc/ 56-ik könyv
"""Szeretni a Földet, riportok""",Névtelen,Hálószoba/ 3-as szekrény/ 3-as polc/ 57-ik könyv
Codul bunelor maniere aztazi,Névtelen,Hálószoba/ 3-as szekrény/ 3-as polc/ 58-ik könyv
"""Buna dimineata, Terra!""",Viorel Salagean,Hálószoba/ 3-as szekrény/ 3-as polc/ 59-ik könyv
Isten igájában,Nyíro József,Hálószoba/ 3-as szekrény/ 3-es polc/ 6-dik könyv
A nagy fejedelem,Móricz Zsigmond,Hálószoba/ 3-as szekrény/ 3-as polc/ 6-ik könyv
Kopjafák,Nyíro József,Hálószoba/ 3-as szekrény/ 3-es polc/ 7-dik könyv
A férfi és a no,Paul Wellman,Hálószoba/ 3-as szekrény/ 3-as polc/ 7-ik könyv
Uz Bence,Nyíro József,Hálószoba/ 3-as szekrény/ 3-es polc/ 8-dik könyv
Via Mala,John Knittel,Hálószoba/ 3-as szekrény/ 3-as polc/ 8-ik könyv
A sibói bölény,Nyíro József,Hálószoba/ 3-as szekrény/ 3-es polc/ 9-dik könyv
Emberbolondok,Panek Zoltán,Hálószoba/ 3-as szekrény/ 3-as polc/ 9-ik könyv
Szokrátész,Eva-Maria Kaufmann,Hálószoba/ 3-as szekrény/ 4-es polc/ elso könyv
Stratégia erdovidék gazdaságának fejlesztésére,Névtelen,Hálószoba/ 3-as szekrény/ 4-es polc/ 10-ik könyv
Nemzeti vagy nemzedéki integráció? Erdélyi középiskolások ..,Veres Valér,Hálószoba/ 3-as szekrény/ 4-es polc/ 11-ik könyv
Vasárnap évkönyve 2003,Névtelen,Hálószoba/ 3-as szekrény/ 4-es polc/ 12-ik könyv
Szakítás,Katona Szabó István,Hálószoba/ 3-as szekrény/ 4-es polc/ 13-ik könyv
"""Tineretul, omogenizarea si diferentiere""",Liliana Mihu?,Hálószoba/ 3-as szekrény/ 4-es polc/ 14-ik könyv
József Attila utolsó hónapjairól,Illés Gyuláné,Hálószoba/ 3-as szekrény/ 4-es polc/ 15-ik könyv
A hittol az eszméletig,Szász János,Hálószoba/ 3-as szekrény/ 4-es polc/ 16-ik könyv
A halál tanítványa,Szenczei László,Hálószoba/ 3-as szekrény/ 4-es polc/ 17-ik könyv
A Petofi kör vitái I. (közgazdasági vita),Névtelen,Hálószoba/ 3-as szekrény/ 4-es polc/ 18-ik könyv
Az erdélyi szombatosság nyomában,Kovács András,Hálószoba/ 3-as szekrény/ 4-es polc/ 19-ik könyv
Muszáj volt élni valahogy,Benko Levente,Hálószoba/ 3-as szekrény/ 4-es polc/ 2-ik könyv
A globalizáció peremén,Laki László- Bíró A. Zoltán,Hálószoba/ 3-as szekrény/ 4-es polc/ 20-ik könyv
Záróra elott,Tompa István,Hálószoba/ 3-as szekrény/ 4-es polc/ 21-ik könyv
Mennyei romok,Bálint Tibor,Hálószoba/ 3-as szekrény/ 4-es polc/ 22-ik könyv
Mese egy örolt kakaduról,Bálint Tibor,Hálószoba/ 3-as szekrény/ 4-es polc/ 23-ik könyv
Zarándokút a panaszfalhoz,Bálint Tibor,Hálószoba/ 3-as szekrény/ 4-es polc/ 24-ik könyv
"""Illúziók kora, Erdély""",Beke Mihály András,Hálószoba/ 3-as szekrény/ 4-es polc/ 25-ik könyv
A ház,Palotás Dezso,Hálószoba/ 3-as szekrény/ 4-es polc/ 26-ik könyv
Megtalált osz (versek),Molnos Lajos,Hálószoba/ 3-as szekrény/ 4-es polc/ 27-ik könyv
Hajnali vágta (Magyari Lajos fordítása),Radu Stanca,Hálószoba/ 3-as szekrény/ 4-es polc/ 28-ik könyv
Kaplony,Tempfli Imre,Hálószoba/ 3-as szekrény/ 4-es polc/ 29-ik könyv
"""Porlik, mint a szikla""",Biró Béla,Hálószoba/ 3-as szekrény/ 4-es polc/ 3-ik könyv
Adevarul dezvaluit despre extraterestrii benefici,Steven M. Greer,Hálószoba/ 3-as szekrény/ 4-es polc/ 30 és 31-ik könyv
A települések ökológiája,Josef Reichholf,Hálószoba/ 3-as szekrény/ 4-es polc/ 31-ik könyv
A pendragon lengenda,Szerb Antal,Hálószoba/ 3-as szekrény/ 4-es polc/ 33-ik könyv
Conditia populatiei din Rezervatia Biosferei Delta Dunarii,Echim Andrei,Hálószoba/ 3-as szekrény/ 4-es polc/ 34-ik könyv
Pronatura,Névtelen,Hálószoba/ 3-as szekrény/ 4-es polc/ 35-ik könyv
A Nyugati-Szigethegység elovilágáról,Csurös István,Hálószoba/ 3-as szekrény/ 4-es polc/ 36-ik könyv
Ördögi akció. A hitegháborúnak vége. Mi jöhet ezután?,John Hands,Hálószoba/ 3-as szekrény/ 4-es polc/ 37-ik könyv
Lugosi üzenet,Balázs Sándor,Hálószoba/ 3-as szekrény/ 4-es polc/ 38-ik könyv
Gyergyószentmiklós monográfiája,Garda Dezso,Hálószoba/ 3-as szekrény/ 4-es polc/ 39-ik könyv
Marosvásárhely fekete márciusa,Kincses Elod,Hálószoba/ 3-as szekrény/ 4-es polc/ 4-ik könyv
Klavír és koboz,László Ferenc,Hálószoba/ 3-as szekrény/ 4-es polc/ 40-ik könyv
Reportaj din iad,Adrian Andronic,Hálószoba/ 3-as szekrény/ 4-es polc/ 41-ik könyv
Mindenki háziorvosa,Dr. Bárányi Ferenc,Hálószoba/ 3-as szekrény/ 4-es polc/ 42-ik könyv
Ergotechnika és munka-menedzser,Balázs Sándor,Hálószoba/ 3-as szekrény/ 4-es polc/ 43-ik könyv
Szinopszis (napi kritikák),Szávai Géza,Hálószoba/ 3-as szekrény/ 4-es polc/ 44-ik könyv
Jurnal in Farime,Eugene Ionesco,Hálószoba/ 3-as szekrény/ 4-es polc/ 45-ik könyv
1848-1849 Marosszék,Pál-Antal Sándor,Hálószoba/ 3-as szekrény/ 4-es polc/ 46-ik könyv
Homo politikus,Seymour Martin Lipset,Hálószoba/ 3-as szekrény/ 4-es polc/ 5-ik könyv
"""Boltívek teherbírása, barangolás Máramaros és Szatmár m...""",Beke György,Hálószoba/ 3-as szekrény/ 4-es polc/ 6-ik könyv
"""Economie politica, microeconomie""",Jacques Généreux,Hálószoba/ 3-as szekrény/ 4-es polc/ 7-ik könyv
Macroeconomie si contabilitate nationala,Jacques Généreux,Hálószoba/ 3-as szekrény/ 4-es polc/ 8-ik könyv
Macroeconomie in economia deschisa,Jacques Généreux,Hálószoba/ 3-as szekrény/ 4-es polc/ 9-ik könyv
A belváros,Gera Mihály,Hálószoba/ 4-es szekrény/ 1-es polc/ 10-dik könyv
A no biólogiája,Etnel Sloane,Hálószoba/ 4-es szekrény/ 1-es polc/ 12-dik könyv
Kolozsvári séták,Névtelen,Hálószoba/ 4-es szekrény/ 1-es polc/ 2-dik könyv
Tört kövön és porladó kereszten,Gaál György,Hálószoba/ 4-es szekrény/ 1-es polc/ 3-dik könyv
Kolozsvár,Névtelen,Hálószoba/ 4-es szekrény/ 1-es polc/ 7-dik könyv
"""Technologii, instala?ii ?i echipamente pentru epurarea apei""",Dan Robescu(etc),Hálószóba/ 4-es szekrény/ 2-ik polc hátul/ elso könyv
Pénzügytan 1-6,Budapesti Közgazdaságtudományi Egyetem,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 10-14-ik könyv
Gazdaságpolitika- Gazdaságirányítás,Budapesti Közgazdaságtudományi Egyetem,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 15-ik könyv
Az európai integráció közgazdasági elmélete (e. Jegyzet),Dr. Steiger Judit,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 16-ik könyv
Az európai megállapodás végrehajtásának jogi és elméleti kér,Balázs Péter,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 17-ik könyv
Eco-Economie (Crearea unei economii pentru planeta noatra),Lester R. Brown,Hálószóba/ 4-ik szekrény/ 2-es polc/ 2-ik könyv
Managementul resurselor umane,Anca Fori?,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 20-ik könyv
Istoria comer?ului exterior românesc,Nicolae Suta,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 21-ik könyv
Románia 1944-1990 gazdaság és politatörténet,Hunya Gábor,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 22-ik könyv
Investi?ii interna?ionale,Costea Munteanu,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 23-ik könyv
Comer?ul interna?ional,Frederic Teulon,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 24-ik könyv
Cronologia economiei mondiale,Frederic Teulon,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 25-ik könyv
Construc?ia europeana de la 1945 pîna în zilele noatre,Pascal Fontaine,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 26-ik könyv
Moneda ?i politica monetara,Jean-Pierre Faugere,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 27-ik könyv
Politici economice,Jacques Genereux,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 28-ik könyv
Revolu?ia maghiara din 1956,Ambasada Repéterublicii Ungare la Bucure?ti,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 29-ik könyv
Laurea?ii Nobel în economie (discursuri de recep?ie vol. 1),Academia Româna,Hálószóba/ 4-ik szekrény/ 2-es polc/ 3-ik könyv
"""Emberi eroforrás, gazdálkodás és munkaeropiac""",László Gyula,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 30-ik könyv
Vállalati tokefinanszírozás,Bélyácz Iván,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 31-ik könyv
Tokefinanszírozási számítások,Bélyácz Iván,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 32-ik könyv
Gazdasági rendszerek elmélete I. Kötet,Budapesti Közgazdaságtudományi Egyetem,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 33-ik könyv
Gazdasági rendszerek elmélete II. Kötet,Budapesti Közgazdaságtudományi Egyetem,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 34-ik könyv
Starea na?iunii 2000 România încotro? Vol. 1,Aurelian Bondrea,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 35-ik könyv
Európa ma és holnap,Palánkai Tibor,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 36-ik könyv
A beruházási fordulat,Bélyácz Iván,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 37-ik könyv
Vállalati gazdaságtan,Bélyácz Iván,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 38-ik könyv
De la Essen la Cannes /Itinerarul strategiei române?ti de UE,Academia Româna,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 39-ik könyv
Economie politica (teorie micro ?i macroeconomica),Constantin Gogonea?a,Hálószóba/ 4-ik szekrény/ 2-es polc/ 4-ik könyv
Noua contabilitate managerilala,Dr. C. M. Dragan,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 40-ik könyv
Asiste?a econiomica acordata României de Grupupul ?arilor de,Guvernul României,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 41-ik könyv
Economia mondiala,Dr. Ioan Bari,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 42-ik könyv
Comer? interna?ional ?i politici comerciale contemporane,Nicolae Suta,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 43-ik könyv
European integration,Dr. Klaus-Dieter Borchardt,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 44-ik könyv
"""Opinia publica, democra?ia ?i statul de drept""",Aurelian Bondrea,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 45-ik könyv
Romanii dupa 1989 (Istroria unei neîn?elegeri),Alina Mugin,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 46-ik könyv
Matematikai analízis,Farkas Miklós,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 47-ik könyv
Analiza varia?iilor factoriale,Ioan Opri?,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 48-ik könyv
Economia politica (Teorie ?i politica economica pt. România),I. D. Adumitracesei,Hálószóba/ 4-ik szekrény/ 2-es polc/ 5-ik könyv
Micro/ macro economie (rezumat),Gheorghe Oprescu,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 6-ik könyv
Avu?ia na?ionala a României (cercetarii istorice comparate),Victor Axenciuc,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 7-ik könyv
Tranzi?ia mai grea decât un razboi (România 1990-2000),Nicolae Belli,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 8-ik könyv
A monetáris irányítás (Elmélet és gyakorlat),Szalkai István,Hálószóba/ 4-ik szekrény/ 2-ik polc hátul/ 9-ik könyv
Romániai magyar irodalmi lexikon,Névtelen,Hálószoba/ 4-es szekrény/ 2-es polc/ elsotol 4-ik könyv
József Attila utolsó hónapjairól,Illyés Gyula,Hálószoba/ 4-es szekrény/ 2-es polc/ 10-dik könyv
"""Illuziók kora, Erdély""",Brian May,Hálószoba/ 4-es szekrény/ 2-es polc/ 11-dik könyv
Latroknak is játszott,Gion Nándor,Hálószoba/ 4-es szekrény/ 2-es polc/ 11-dik könyv
Tisztes uriház,Emile Zola,Hálószoba/ 4-es szekrény/ 2-es polc/ 12-dik könyv
A Forsyte-Saga,John Galsworty,Hálószoba/ 4-es szekrény/ 2-es polc/ 13 és 14-dik könyv
A bábu I-II,Boleslaw Prus,Hálószoba/ 4-es szekrény/ 2-es polc/ 15- és 16- dik könyv
Üvölto szelek,Emily Bronte,Hálószoba/ 4-es szekrény/ 2-es polc/ 17-dik könyv
Káprázat,Elias Canetti,Hálószoba/ 4-es szekrény/ 2-es polc/ 18-dik könyv
A kút és az inga,Edgar Allan Poe,Hálószoba/ 4-es szekrény/ 2-es polc/ 19-dik könyv
Cartea blocadei,Ales Adomovici,Hálószoba/ 4-es szekrény/ 2-es polc/ 25-dik könyv
"""Halló, doktor bácsi""",Lowi Károly,Hálószoba/ 4-es szekrény/ 2-es polc/ 28-dik könyv
Mária volt az élete,Pierre,Hálószoba/ 4-es szekrény/ 2-es polc/ 29-dik könyv
Szilágysági hegységek,Beke György,Hálószoba/ 4-es szekrény/ 2-es polc/ 3-dik könyv
?tiin?ei politice,Névtelen,Hálószoba/ 4-es szekrény/ 2-es polc/ 30-dik könyv
Egy szál ingben,Dobos László,Hálószoba/ 4-es szekrény/ 2-es polc/ 5-ik könyv
Az elso tanító,Csingiz Ajtmatov,Hálószoba/ 4-es szekrény/ 2-es polc/ 6-dik könyv
Érzelmek iskolája,Gustave Falubert,Hálószoba/ 4-es szekrény/ 2-es polc/ 7-dik könyv
Megtalált osz,Malnes Lajos,Hálószoba/ 4-es szekrény/ 2-es polc/ 8-dik könyv
A csendes amerikai,Graham Greene,Hálószoba/ 4-es szekrény/ 2-es polc/ 8-dik könyv
Anna Karenina,Lev Tolsztoj,Hálószoba/ 4-es szekrény/ 2-es polc/ 9  és 10-dik könyv
A concise dictionary of business,Oxford,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ elso könyv
Dic?ionar de asigurari,GH. D. Bistrigeanu,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 10-ik könyv
Cre?tinismul redus la esen?e,C. S. Lewis,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 11-ik könyv
Trecerea la o noua calitate prin conducerea ?tiin?ifica a sc,Costel Florescu,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 12-ik könyv
Socialismul ?i contemporaneitatea,Ion Mitran,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 13-ik könyv
Bilan?ul în gestiunea patrimoniului,Mihai Ristea,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 14-ik könyv
Ultimele zile ale fascismului în Europa,Jacques de Launay,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 15-ik könyv
Caravana cinematografica,Ioan Gro?an,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 16-ik könyv
"""Busola, sfaturi practice pt. Îtreprinzatori mici ?i mijlocii""",Névtelen,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 17-ik könyv
Opozi?ia,Ghi?a Ionescu,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 18-ik könyv
Cre?terea rolului finan?elor ?i pîrghiilor financiare,Cornel Iuga,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 19-ik könyv
Power shift (Putere în mi?care),Alvin Toffler,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 2-ik könyv
Istoria intelectuala a liberalismului,Pierre Manent,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 20-ik könyv
Românii ?i maghiarii de-a lungul veacurilor,Francisc Pacurariu,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 21-ik könyv
Nuts!...(Batalia din Ardeni decembrie 1944),Michel Georis,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 22-ik könyv
Ghid juridic pt. Organiza?iile neguvermentale cu scop nelucr,Névtelen,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 23-ik könyv
Aspecte istorice privind proprietatea agrara din România,Eugen Constantin Mewes,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 24-ik könyv
Legea privind drepturile minorita?ilor na?ionale ?i etnice,Névtelen,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 25-ik könyv
Revolu?ie ?i reforma,Ion Iliescu,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 26-ik könyv
Scurt istoric al parlamentul româniei pâna în abul 1918,Camera deputa?ilor,Hálószóba/ 4-ik szekrény/ 3-ik polc hátul/ 27-ik könyv
